service_id,date,exception_type
SEPT21-D02CAR-1_Weekday-SANTHB0,20210922,2
SEPT21-D02CAR-1_Weekday-SANTHB0,20210923,2
SEPT21-D02CAR-1_Weekday-SANTHB0,20210924,2
SEPT21-D02CAR-1_Weekday-SANTHB0,20210927,2
SEPT21-D02CAR-1_Weekday-SANTHS1,20210928,2
SEPT21-D02CAR-1_Weekday-SANTHB0,20210929,2
SEPT21-D02CAR-1_Weekday-SANTHB0,20210930,2
SEPT21-D02CAR-1_Weekday-SANTHB0,20211001,2
SEPT21-D02CAR-1_Weekday-SANTHB0,20211004,2
SEPT21-D02CAR-1_Weekday-SANTHS1,20211005,2
SEPT21-D02CAR-1_Weekday-SANTHB0,20211006,2
SEPT21-D03CAR-1_Weekday-MUIRHS1,20210924,2
SEPT21-D07CAR-1_Weekday-PAULRB0,20210922,2
SEPT21-D07CAR-1_Weekday-HOLLHB0,20210922,2
SEPT21-D07CAR-1_Weekday-FAIRHC0,20210922,2
SEPT21-D07CAR-1_Weekday-PAULRB0,20210923,2
SEPT21-D07CAR-1_Weekday-HOLLHB0,20210923,2
SEPT21-D07CAR-1_Weekday-FAIRHC0,20210923,2
SEPT21-D07CAR-1_Weekday-PALIHS1,20210924,2
SEPT21-D07CAR-1_Weekday-PAULRB0,20210924,2
SEPT21-D07CAR-1_Weekday-HOLLHB0,20210924,2
SEPT21-D07CAR-1_Weekday-FAIRHC0,20210924,2
SEPT21-D07CAR-1_Weekday-PAULRB0,20210927,2
SEPT21-D07CAR-1_Weekday-HOLLHB0,20210927,2
SEPT21-D07CAR-1_Weekday-FAIRHC0,20210927,2
SEPT21-D07CAR-1_Weekday-FAIRHS1,20210928,2
SEPT21-D07CAR-1_Weekday-PAULRB0,20210928,2
SEPT21-D07CAR-1_Weekday-HOLLHB0,20210928,2
SEPT21-D07CAR-1_Weekday-PAULRB0,20210929,2
SEPT21-D07CAR-1_Weekday-HOLLHB0,20210929,2
SEPT21-D07CAR-1_Weekday-FAIRHC0,20210929,2
SEPT21-D07CAR-1_Weekday-PAULRB0,20210930,2
SEPT21-D07CAR-1_Weekday-HOLLHB0,20210930,2
SEPT21-D07CAR-1_Weekday-FAIRHC0,20210930,2
SEPT21-D07CAR-1_Weekday-PAULRB0,20211001,2
SEPT21-D07CAR-1_Weekday-HOLLHB0,20211001,2
SEPT21-D07CAR-1_Weekday-FAIRHC0,20211001,2
SEPT21-D07CAR-1_Weekday-PAULRB0,20211004,2
SEPT21-D07CAR-1_Weekday-HOLLHB0,20211004,2
SEPT21-D07CAR-1_Weekday-FAIRHC0,20211004,2
SEPT21-D07CAR-1_Weekday-FAIRHS1,20211005,2
SEPT21-D07CAR-1_Weekday-HOLLHS1,20211005,2
SEPT21-D07CAR-1_Weekday-PAULRE1-1010100,20211005,2
SEPT21-D07CAR-1_Weekday-PAULRE1-0101000,20211005,2
SEPT21-D07CAR-1_Weekday-PAULRB0,20211006,2
SEPT21-D07CAR-1_Weekday-HOLLHB0,20211006,2
SEPT21-D07CAR-1_Weekday-FAIRHC0,20211006,2
SEPT21-D08CAR-1_Weekday-MONRHB0,20210922,2
SEPT21-D08CAR-1_Weekday-FULTMB0,20210922,2
SEPT21-D08CAR-1_Weekday-KENNHB0,20210922,2
SEPT21-D08CAR-1_Weekday-TAFTHB0,20210922,2
SEPT21-D08CAR-1_Weekday-POLYHT1,20210922,2
SEPT21-D08CAR-1_Weekday-MONRHB0,20210923,2
SEPT21-D08CAR-1_Weekday-FULTMB0,20210923,2
SEPT21-D08CAR-1_Weekday-KENNHB0,20210923,2
SEPT21-D08CAR-1_Weekday-TAFTHB0,20210923,2
SEPT21-D08CAR-1_Weekday-POLYHT1,20210923,2
